id;ano_contratacao;titulo;objetivo;grupo_tematico;subgrupo_tematico;tipo_pesquisa;programa;instituicao;sigla_instituicao;uf_instituicao;valor_projeto;status;ano_previsao
17;2020;Coalizão multiômicas para o estudo da pandemia de Covid-19 na população brasileira: eixo genômica humana.;O projeto terá como objetivo estudos de identificação e caracterização de fatores genômicos virais e além disso, estudar a interação vírus-hospedeiro associado às manifestações clínicas da doença, através da utilização de dados de ômica (genômica viral, transcritomas humanos, genoma completo humano). ;Prevenção;Outros estudos de prevenção;Pesquisa Pré-Clínica;GENOMAS Brasil;Universidade de São Paulo;USP;SP;396000;Finalizado;2023
18;2020;Coalizão multiômicas para o estudo da pandemia de Covid-19 na população brasileira: eixo proteômica e metabolômica.;A presente proposta tem por objetivo geral realizar uma ampla varredura de fatores individuais que podem conferir proteção/susceptibilidade a diferentes desfechos da infecção por SARS-CoV-2 na população brasileira e influenciar no desenvolvimento das manifestações clínicas, utilizando uma abordagem integrada por meio da agregação de dados clínicos a múltiplas informações ômicas – que incluem informações genômicas, do transcriptôma, proteômicas e metabolômicas –, imunológicas (imunofenotipagem) e do genoma viral, sendo este último importante para compreensão dos fatores externos de co-infecção e da própria evolução do vírus no país. ;Prevenção;Outros estudos de prevenção;Pesquisa Pré-Clínica;GENOMAS Brasil;Universidade Federal do Rio de Janeiro;UFRJ;RJ;1795040,51;Finalizado;2024
19;2021;Estudo randomizado prospectivo comparando diferentes estratégias ventilatórias em pacientes com Síndrome do Desconforto Respiratório Agudo por pneumonia comunitária: Estudo STAMINA.;Avaliar se uma estratégia de titulação de Pressão Expiratória Positiva Final (PEEP) guiada por complacência, sem manobra de recrutamento, é superior em termos de aumento do número de dias livres de suporte ventilatório invasivo em comparação à estratégia padrão que se baseia na titulação da PEEP e da Fração Inspirada de Oxigênio (FIO2). ;Tratamento;Manejo Clínico pacientes com COVID-19;Pesquisa Clínica Intervencional (Fases I, II, III);PROADI - SUS;Associação Beneficente Síria;ABS;SP;2014665,2;Finalizado;2023
20;2021;Impacto em longo prazo da Covid-19 na população brasileira - Estudo de coorte prospectiva de casos moderados a graves (hospitalizados) (Estudo 1).;"Avaliar a ocorrência e os fatores de risco modificáveis para os seguintes desfechos de longo prazo: Qualidade de vida relacionada à saúde; Mortalidade 1 ano após alta hospitalar; Taxa de re-hospitalização não planejada precoce e tardia; Presença de sintomas prolongados;  Capacidade física funcional; Função cognitiva; Sintomas de ansiedade e depressão; Sintomas de transtorno de estresse pós-traumático.";Pós-covid;Condições Pós-Covid;Pesquisa Observacional;PROADI - SUS;Associação Hospitalar Moinhos de Vento;HMV;RS;1556875,37;Finalizado;2023
21;2021;Impacto em longo prazo da Covid-19 na população brasileira - Estudo de coorte prospectiva de casos leves (não-hospitalizados) (Estudo 2).;"Avaliar a ocorrência e os fatores de risco modificáveis para os seguintes desfechos de longo prazo: Qualidade de vida relacionada à saúde; Mortalidade 1 ano após início dos sintomas da Covid-19; Taxa de hospitalização não planejada; Presença de sintomas prolongados; Capacidade física funcional; Função cognitiva; Sintomas de ansiedade e depressão; Sintomas de transtorno de estresse pós-traumático.";Pós-covid;Condições Pós-Covid;Pesquisa Observacional;PROADI - SUS;Associação Hospitalar Moinhos de Vento;HMV;RS;1556875,37;Finalizado;2023
22;2021;Impacto em longo prazo da Covid-19 na população brasileira - Estudo caso-controle para avaliar o risco atribuível da Covid-19 no acometimento da saúde cardiorrespiratória 6 meses após contrair pneumonia (Estudo 3).;"Avaliar o risco atribuível da Covid-19 no desenvolvimento dos seguintes desfechos em 6 meses (caso-controle): Capacidade de difusão pulmonar; Capacidade vital, volume expiratório forçado no primeiro segundo (VEF1) e VEF1/CV; Padrões radiológicos de fibrose pulmonar; Equivalente metabólicos; Escore de cálcio coronariano; Marcadores inflamatórios;  Dispneia; Eventos cardiovasculares maiores; Eventos tromboembólicos.";Pós-covid;Condições Pós-Covid;Pesquisa Observacional;PROADI - SUS;Associação Hospitalar Moinhos de Vento;HMV;RS;1556875,38;Finalizado;2023
23;2023;Impacto em longo prazo da Covid-19 na população brasileira - Estudo de coorte para avaliação do impacto em longo prazo da Covid-19 no Brasil (pacientes hospitalizados) - Coorte de casos moderados a graves (Estudo 1).;"Avaliar a ocorrência e os fatores de risco modificáveis para os seguintes desfechos de longo prazo: Qualidade de vida relacionada à saúde; Mortalidade 1 ano após alta hospitalar;  Taxa de re-hospitalização não planejada precoce  e tardia; Presença de sintomas prolongados; Capacidade física funcional; Função cognitiva; Sintomas de ansiedade e depressão; Sintomas de transtorno de estresse pós-traumático. ";Pós-covid;Condições Pós-Covid;Pesquisa Observacional;PROADI - SUS;Associação Hospitalar Moinhos de Vento;HMV;RS;593961,34;Finalizado;2025
24;2023;Impacto em longo prazo da Covid-19 na população brasileira - Estudo de coorte para avaliação do impacto em longo prazo da Covid-19 no Brasil (pacientes ambulatoriais) - Coorte de casos leves (Estudo 2).;"Avaliar a ocorrência e os fatores de risco modificáveis para os seguintes desfechos de longo prazo: Qualidade de vida relacionada à saúde avaliada pela escala da EuroQol de 5 dimensões e 3 níveis; Mortalidade 1 ano após início dos sintomas da Covid-19; Taxa de hospitalização não planejada; Presença de sintomas prolongados; Capacidade física funcional; Função cognitiva; Sintomas de ansiedade e depressão; Sintomas de transtorno de estresse pós-traumático.

";Pós-covid;Condições Pós-Covid;Pesquisa Observacional;PROADI - SUS;Associação Hospitalar Moinhos de Vento;HMV;RS;593961,35;Finalizado;2025
25;2023;Impacto em longo prazo da Covid-19 na população brasileira - Estudo observacional de pacientes com Síndrome do Desconforto Respiratório Agudo (SDRA) e controles - Caso-controle, comparando indivíduos hospitalizados por pneumonia por SARSCoV-2 e controles sem histórico de sintomas persistentes da Covid-19 (Estudo 3).;"Avaliar o impacto da SDRA por Covid-19 nos seguintes desfechos a partir de 12 meses após alta hospitalar: Capacidade física-funcional; Atividades instrumentais de vida diária; Função e força muscular;  Dispneia; Qualidade de vida relacionada à saúde; Variáveis ergoespirométricas como consumo direto de oxigênio, consumo de oxigênio de pico, VE/VCO2 slope, oxygen uptake efficiency slope;  Variáveis espirométricas como capacidade vital, volume expiratório forçado no primeiro segundo; Padrões radiológicos de fibrose pulmonar,  relacionados à sequelas de miocardite aguda e  de sarcopenia; Avaliação estrutural e de função renal; avaliar desfechos na internação e após a alta hospitalar por SDRA: eventos cardiovasculares maiores; Eventos tromboembólicos.";Pós-covid;Condições Pós-Covid;Pesquisa Observacional;PROADI - SUS;Associação Hospitalar Moinhos de Vento;HMV;RS;593961,35;Finalizado;2025
26;2022;Ensaio clínico randomizado em cluster, stepped-wedge, para avaliação do impacto de bundles de reabilitação precoce (apoiados por Telemedicina) na qualidade de vida de pacientes após insuficiência respiratória aguda hipoxêmica com suspeita de Covid-19.;Avaliar o impacto de intervenções precoces (incluindo bundles específicos de prevenção/reabilitação precoce e estratégias de desospitalização) em desfechos de interesse de curto prazo (tempo de permanência e mortalidade hospitalar, savings) e longo prazo (com ênfase desfechos funcionais como qualidade de vida, taxa de retorno ao trabalho e internações, entre outros) em pacientes graves acometidos pela long-covid.;Pós-covid;Condições Pós-Covid;Pesquisa Clínica Intervencional (Fases I, II, III);PROADI - SUS;Associação Hospitalar Moinhos de Vento;HMV;RS;2808872,51;Finalizado;2023
27;2023;Ensaio clínico randomizado em cluster, stepped-wedge, para avaliação do impacto de bundles de reabilitação precoce (apoiados por telemedicina) na qualidade de vida de pacientes após insuficiência respiratória aguda hipoxêmica com suspeita de Covid-19.;Avaliar, por meio de ensaio clínico randomizado em cluster, stepped-wedge, o impacto de bundles específicos de prevenção/reabilitação precoce, focados em três domínios (UTI, Enfermaria e pós alta), em qualidade de vida relacionada à saúde e outros desfechos de longo e curto prazo de pacientes graves acometidos por sequelas de internação por insuficiência respiratória aguda hipoxêmica com suspeita de Covid-19. ;Pós-covid;Condições Pós-Covid;Pesquisa Clínica Intervencional (Fases I, II, III);PROADI - SUS;Associação Hospitalar Moinhos de Vento;HMV;RS;4818441,2;Em execução;2025
28;2022;Avaliação do impacto de estratégias de reabilitação e alta precoces após insuficiência respiratória em pacientes com suspeita de Covid-19 (RCT Rehab).;Avaliar o impacto de intervenções precoces (incluindo pacotes-bundles) específicos de prevenção/reabilitação precoce e estratégias de desospitalização) em desfechos de interesse de curto prazo e longo prazo em pacientes graves acometidos por sequelas de internação por insuficiência respiratória aguda hipoxêmica com suspeita de Covid-19. ;Pós-covid;Condições Pós-Covid;Pesquisa Clínica Intervencional (Fases I, II, III);PROADI - SUS;Sociedade Beneficente Israelita Brasileira Hospital Albert Einstein;SBIBAE;SP;4474087,09;Finalizado;2023
29;2023;Avaliação do impacto de estratégias de reabilitação e alta precoces após insuficiência respiratória em pacientes acometidos por Síndrome Respiratória Aguda Grave com uso de Ventilação Mecânica.;Avaliar o impacto de intervenções precoces (incluindo pacotes-bundles) específicos de prevenção/reabilitação precoce e estratégias de desospitalização em desfechos de interesse de curto prazo e longo prazo em pacientes graves acometidos por sequelas de internação por insuficiência respiratória aguda hipoxêmica submetidos à ventilação mecânica, com suspeita de Covid-19.;Pós-covid;Condições Pós-Covid;Pesquisa Clínica Intervencional (Fases I, II, III);PROADI - SUS;Sociedade Beneficente Israelita Brasileira Hospital Albert Einstein;SBIBAE;SP;7915361,41;Finalizado;2025
30;2020;Uso de equipamentos de proteção individual pelos profissionais de saúde no combate à Covid-19;Avaliar a adesão e o uso de Equipamentos de Proteção Individual (EPI) por profissionais da Atenção Primária à Saúde (APS) e profissionais vinculados a programas de residência na área da saúde no combate à pandemia da Covid-19, bem como os fatores de risco relacionados.;Prevenção;Outros estudos de prevenção;Pesquisa Observacional;Sem programa vinculado;Universidade Federal de Juiz de Fora;UFJF;MG;58000;Finalizado;2023
31;2020;A eficacia anti-viral da biofotonica como tecnologia para descontaminacao de ambientes e superficies. revisao sistematica.;Avaliar o uso da biofotônica como terapia antiviral discutindo sua utilidade na descontaminação viral de superfícies no contexto da pandemia de Covid-19.;Prevenção;Outros estudos de prevenção;Avaliação de Tecnologias em Saúde;Sem programa vinculado;Universidade Nove de Julho;UNINOVE;SP;50000;Finalizado;2021
32;2020;A eficácia da heparina e do tocilizumabe na melhora clínica de pacientes com infecção grave pela Covid-19: um ensaio clínico multicêntrico randomizado (hepmab-Covid-19 trial);Avaliar se o uso precoce da associação entre heparina e tocilizumabe resulta na melhora clínica dos pacientes com Covid-19 grave, definida pela alta hospitalar ou redução de pelo menos 2 pontos na escala ordinal modificada de 7 pontos da OMS, em 30 dias após a randomização;Tratamento;Medicamentos;Pesquisa Pré-Clínica;Sem programa vinculado;Universidade de São Paulo;USP;SP;2312120;Finalizado;2022
33;2020;A receptividade as fake news e o engajamento no combate a Covid-19: o papel de variaveis cognitivas e socioemocionais;Investigar a relação entre fatores socioemocionais, receptividade a fake news sobre Covid-19 e engajamento em comportamentos de combate à pandemia;Projetos Transversais;Enfrentamento à desinformação em Saúde;Pesquisa Observacional;Sem programa vinculado;Universidade São Francisco;USF;SP;111792,04;Finalizado;2023
34;2020;A saúde dos trabalhadores da saúde no contexto da pandemia do Covid-19: prevenção e cuidado;Analisar a saúde e segurança dos trabalhadores da saúde que atuam no enfrentamento da pandemia de Covid-19 no Nordeste do Brasil. A pesquisa investigou os impactos da pandemia na saúde mental e nas condições de trabalho desses profissionais e buscou desenvolver estratégias para a prevenção e promoção da saúde mental desses trabalhadores.;Projetos Transversais;Impactos na Saúde Mental;Pesquisa Observacional;Sem programa vinculado;Universidade Federal da Paraíba;UFPB;PB;619050;Finalizado;2022
35;2020;Acompanhamento longitudinal de adultos e idosos que receberam alta da internacao hospitalar por Covid-19;Analisar preditores, sequelas e repercussões da Covid-19 em adultos e idosos que desenvolveram a forma grave da doença, após alta hospitala;Pós-covid;Condições Pós-Covid;Pesquisa Observacional;Sem programa vinculado;Universidade Estadual de Maringá;UEM;PR;332413;Finalizado;2022
36;2020;Aliança público-privada para o desenvolvimento de estratégias voltadas para a prevenção da Covid-19;Desenvolver estratégias de combate ao vírus SARS-CoV-2 envolvendo desenvolvimento de vacinas, diagnóstico, e tratamentos, além de auxiliar na avaliação do impacto da vacinação na população brasileira;Prevenção;Vacinas e Imunização;Pesquisa Translacional;Sem programa vinculado;Universidade de São Paulo;USP;SP;1202800;Finalizado;2022
37;2020;Análise da presença e persistência do SARS-CoV-2 em águas de superfície e ictiofauna da bacia hidrográfica do baixo e medio jequitinhonha, mg;Verificar a presença de Sars-Cov-2 no esgoto, nos rios e na ictiofauna da bacia hidrográfica do rio Jequitinhonha.;Prevenção;Outros estudos de prevenção;Pesquisa Não Clínica;Sem programa vinculado;Instituto Federal de Educação, Ciência e Tecnologia do Norte de Minas Gerais;IFNMG;MG;759413;Finalizado;2022
38;2020;Análise de modelos e estratégias de vigilância em saúde da pandemia do Covid-19 (2020-2022);Analisar as estratégias e ações de Vigilância em Saúde implementadas em diferentes níveis de atenção do SUS, visando ao enfrentamento da pandemia e à garantia da proteção e segurança dos profissionais e trabalhadores da saúde, assim como as medidas adotadas em diversos países do mundo;Fortalecimento do SUS e Vigilância em Saúde;Sistemas e serviços de saúde;Avaliações de Políticas;Sem programa vinculado;Universidade Federal da Bahia;UFBA;BA;1039800;Finalizado;2023
39;2020;Análise do estado de hipercoagulabilidade e suas associações com agressividade clínica de Covid-19;Definir o estado de hipercoagulabilidade e o perfil dos estados graves da Covid-19 através da avaliação das vias da coagulação e imunidade imune inata, tentando identificar possíveis alvos terapêuticos para inibição de trombose intravascular de pacientes críticos de SARS-Cov-19, admitidos em Unidade de Terapia Intensiva;Diagnóstico e Prognóstico;Fisiopatologia da Covid-19;Pesquisa Observacional;Sem programa vinculado;Universidade Federal do Ceará;UFC;CE;62610,75;Finalizado;2022
40;2020;Análise espaço-temporal dos casos de síndrome respiratória aguda grave e de Covid-19 no brasil;Analisar a evolução espaço-temporal dos casos notificados de Síndrome Respiratória Aguda Grave (SRAG) no período de 2009 a 2023, e da Covid-19 de 2020 a 2023, no Brasil;Fortalecimento do SUS e Vigilância em Saúde;Epidemiologia;Pesquisa Observacional;Sem programa vinculado;Universidade Federal do Maranhão;UFMA;MA;335560;Finalizado;2022
41;2020;Aprendizagem de máquina para problemas relacionados a Covid-19;Aplicou modelos de aprendizagem de máquina (inteligência artificial) em três frentes principais no enfrentamento da Covid-19: prevenção da desinformação, predição da evolução da pandemia e apoio ao diagnóstico por meio da triagem automatizada de pacientes. Desenvolveu um sistema classificador de notícias falsas sobre a pandemia.;Fortalecimento do SUS e Vigilância em Saúde;Sistemas e serviços de saúde;Pesquisa Translacional;Sem programa vinculado;"Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina	";IFSC;SC;77164,59;Finalizado;2022
42;2020;A intervenção do terapeuta ocupacional junto às pessoas hospitalizadas com infecção por Covid-19;Mapeou quais as intervenções foram realizadas por terapeutas ocupacionais junto às pessoas-hospitalizadas com infecção por Covid-19.;Tratamento;Manejo Clínico pacientes com COVID-19;Pesquisa Observacional;Sem programa vinculado;Universidade de Brasília;UNB;DF;34680;Finalizado;2022
43;2020;Associação do diabetes mellitus e anormalidades metabólicas com morbimortalidade relacionada à infecção pelo SARS-CoV-2 em coortes de pacientes internados em hospitais de referência no estado do rio grande do sul;Avaliar o impacto do diabetes mellitus e alterações metabólicas associadas em desfechos clínicos de pacientes com diagnóstico de Sars-Cov-2;Diagnóstico e Prognóstico;Fisiopatologia da Covid-19;Pesquisa Observacional;Sem programa vinculado;Hospital de Clínicas de Porto Alegre;HCPA;RS;424776;Finalizado;2022
44;2020;Associação entre a poluição do ar e a Covid-19: uma abordagem epidemiológica e de monitoramento ambiental;Avaliação da presença do SARS CoV-2 no material particulado (poluição) presente no ar ambiente na cidade de São Paulo, uma vez que a confirmação da disseminação aérea associada a poluição do ar aumenta os riscos para a saúde humana e os impactos da restrição da mobilidade na qualidade do ar.;Fortalecimento do SUS e Vigilância em Saúde;Epidemiologia;Pesquisa Observacional;Sem programa vinculado;Universidade de São Paulo;USP;SP;253000;Finalizado;2022
45;2020;Avaliação da atenção primária à saúde no enfrentamento da Covid-19: comparação entre os municípios brasileiros;Avaliar e comparou a organização e assistência oferecida pelos serviços da APS no enfrentamento da Covid-19 no Brasi;Fortalecimento do SUS e Vigilância em Saúde;Sistemas e serviços de saúde;Avaliações de Políticas;Sem programa vinculado;Universidade Federal de São Carlos;UFSCAR;SP;84013;Finalizado;2022
46;2020;Avaliação da efetividade de intervenções de suporte ao isolamento domiciliar de casos SUSpeitos de Covid-19 identificados na atenção básica;Avaliar a efetividade de três intervenções de suporte ao isolamento domiciliar de casos suspeitos de Covid-19, identificados na Atenção Básica, em relação às condutas de rotina implementadas pelas equipes de Saúde da Família.;Fortalecimento do SUS e Vigilância em Saúde;Sistemas e serviços de saúde;Avaliações de Políticas;Sem programa vinculado;Universidade da Integração Internacional da Lusofonia Afro-Brasileira;UNILAB;CE;52003,8;Finalizado;2022
47;2020;Avaliação da integridade da barreira epitelial intestinal em pacientes infectados por SARS-CoV-2;Avaliar a integridade da barreira epitelial intestinal em pacientes infectados por Sars-Cov-2.;Diagnóstico e Prognóstico;Fisiopatologia da Covid-19;Pesquisa Observacional;Sem programa vinculado;Universidade de São Paulo;USP;SP;85000;Finalizado;2022
